Country,Ship Name,Square Feet of Sail,Length,Capacity,Location,City,5-Jul,6-Jul,7-Jul
Peru,BAP Union,"36,620",378,250,Stapleton Waterfront Park,Staten Island,1,1,1
Poland,Dar Mlodziezy,"32,000",354,176,Pier 90/91,Manhattan,1,1,1
Spain,Juan Sebastian de Elcano,"30,900",371,390,Pier 90/91,Manhattan,1,1,1
Chile,Esmeralda,"30,892",371,390,Stapleton Waterfront Park,Staten Island,0,1,1
Italy,Amerigo Vespucci,"30,400",329,276–406,Pier 86,Manhattan,1,1,1
Argentina,ARA Libertad,"28,545",340,361,Pier 90/91,Manhattan,1,1,1
United States,USCGC Eagle,"22,000",295,208,Pier 17,Manhattan,1,1,1
Portugal,NRP Sagres,"22,000",292,191,Pier 1,Brooklyn,1,1,
Germany,Gorch Fock,"21,010",266,220–360,Pier 3,Brooklyn,,1,1
Romania,Mircea,"18,837",269,200–229,Pier 5,Brooklyn,,1,1
Ecuador,BAE Guayas,"15,200",257,155,Pier 90/91,Manhattan,1,1,1
Colombia,ARC Gloria,"15,000",212,165,Stapleton Waterfront Park,Staten Island,1,1,1
India,INS Sudarshini,"11,140",177,75,Pier 1,Brooklyn,1,1,
Dominican Republic,Juan Bautista Cambiaso,"11,000",177,12–37,Pier 90/91,Manhattan,1,1,1
United States,Elissa,"10,890",141,42,Brooklyn Marina,Brooklyn,1,1,1
Netherlands,Oosterschelde,"9,590",164,8--24,Pier 17,Manhattan,1,1,
Uruguay,Capitan Miranda,"9,185",210,75,Pier 86,Manhattan,1,1,1
United States,Pride of Baltimore II,9018,157,12,Pier 15,Manhattan,1,1,1
United States,Ernestina-Morissey,"8,323",156,32,,,,,
Sweden,HMS Gladan,"7,340",129,28,Pier 86,Manhattan,1,1,1
United States,Angelique,"5,260",130,34,,,,,
France,Belle Poule,"4,800",123,20,Pier 90/91,Manhattan,1,1,1
United States,Denis Sullivan,"4,600",137,,Brooklyn Marina,Brooklyn,1,1,1
United States,Lynx,"4,600",122,,Pier 90/91,Manhattan,1,1,1
Monaco,Tuiga,"4,433",93,4–16,,,,,
United States,American Eagle,"4,250",123,32,,,,,
United States,Harvey Gamage,"4,200",131,35,Brooklyn Marina,Brooklyn,1,1,1
British Virgin Islands,Vela,"4,000",112,30,,,,,
United States,Adirondack,1850,65,,,,,,
United States,Liberty Clipper,4300,125,,,,,,
United States,Tabor Boy,3540,115,,Pier 90/91,Manhattan,1,1,1
United States,Clearwater,4350,106,55,,,,,
United States,America 2.0,3600,105,,,,,,
United States,Lady Maryland,3500,104,,Pier 90/91,Manhattan,1,1,1
United States,Pioneer,2700,102,,,,,,
United States,Foggy,,74,,,,,,
United States,Ticonderoga,2897,72,,,,,,
United States,Mayan,1665,65,,,,,,
United States,When & If,1700,63.5,,Pier 90/91,Manhattan,1,1,1
Germany,Walross 4,2163,55,,,,,,
United States,Bowdoin,2000,100,,Pier 90/91,Manhattan,1,1,1
United States,NOAA Ferdinand R. Hassler,,,,Stapleton Waterfront Park,Staten Island,1,,
